canonical_variable_id,label,aliases,canonical_unit,unit_conversions,group_id,candidate_dataset_ids,min_meaningful_resolution_m,resolution_sensitivity,derive_then_aggregate,context_sensitivity,review_status,raised_by,raised_date,comment
slope,Terrain slope,"[""gradient"",""slope %"",""slope degrees""]",degrees,"{""pct->deg"":""atan"",""ratio->deg"":""atan""}",topographic,"[""srtm_dem_30m"",""srtm_dem_90m""]",90,high,true,low,,,,
annual_precipitation,Mean annual precipitation,"[""BIO12"",""MAP"",""annual rainfall""]",mm/year,{},climatic,"[""worldclim_v2_precip"",""chelsa_bioclim_v21_baseline"",""chirps_precipitation_v2""]",1000,low,false,low,,,,
mean_annual_temperature,Mean annual temperature,"[""BIO1"",""MAT""]",degC,{},climatic,"[""worldclim_v2_bioclim"",""chelsa_bioclim_v21_baseline""]",1000,low,false,low,,,,
soil_ph,Topsoil pH (0-30 cm),"[""pH"",""soil reaction""]",pH_units,{},edaphic,"[""isric_soilgrids250_v2""]",250,medium,false,medium,,,,
soil_organic_carbon,Topsoil organic carbon (0-30 cm),"[""SOC"",""organic carbon""]",g/kg,{},edaphic,"[""isric_soilgrids250_v2"",""fao_gsoc_map""]",250,medium,false,medium,,,,
soil_drainage,Soil drainage class,"[""drainage class""]",ordinal_1_7,{},edaphic,"[""hwsd_v2""]",1000,low,false,medium,,,,
land_cover,Land cover / land use class,"[""LULC"",""land cover class""]",categorical,{},land_use,"[""esa_worldcover_2021""]",10,medium,false,medium,,,,
protected_area_status,Protected-area status (IUCN category),"[""WDPA category"",""IUCN cat""]",categorical,{},governance,"[""protected_areas_wdpa""]",30,low,false,medium,,,,
distance_to_road,Distance to nearest road,"[""road access"",""market access proxy""]",km,"{""m->km"":""/1000""}",infrastructure,"[""osm_road_network""]",100,medium,true,medium,,,,
aridity_index,Aridity Index (P/PET),"[""AI"",""UNEP aridity index""]",dimensionless,{},climatic,"[""global_aridity_index_v3""]",1000,low,false,low,,,,
tree_canopy_cover,Tree canopy cover,"[""canopy cover"",""tree cover""]",percent,{},land_use,"[""hansen_treecover2000""]",30,medium,false,medium,,,,
soil_texture_hsg,Soil texture / Hydrologic Soil Group,"[""HSG"",""texture class""]",categorical,{},edaphic,"[""hwsd_v2"",""isric_soilgrids250_v2""]",250,low,false,medium,,,,
drainage_density,Drainage density,"[""stream density""]",km/km2,{},hydrological,"[""scs_cn_runoff_composite"",""srtm_dem_30m""]",90,high,true,low,,,,
stream_order,Stream order (Strahler),"[""Strahler order""]",ordinal,{},hydrological,"[""scs_cn_runoff_composite"",""srtm_dem_30m""]",90,high,true,low,,,,
permanent_water,Permanent water body,"[""surface water"",""water occurrence""]",percent_occurrence,{},hydrological,"[""esa_worldcover_2021""]",30,low,false,low,,,,
drought_spei12_baseline,"Drought severity (SPEI-12, baseline)",[],index_or_native,{},climatic,"[""spei_global_v26""]",1000,low,false,low,,,,
